tonyooI,indonesia
"Legeeu", "Hambar, tawar"
"Poat", "Panas"
"Gereem", "Dingin"
"Rayat", "Besar"
"Ikiit", "Kecil"
"Leeot", "Panjang"
"Bakaat", "Pendek"
"Longeeu", "Tinggi"
"Angkuui", "Rendah, rendah hati"
"Mooq", "Jauh"
"Dapeet", "Dekat"
"Mioh", "Bersih"
"Latak", "Kotor"
"Koih", "Rajin, gesit"
"Pegaale", "Malas"
"Gaer", "Takut, khawatir"
"Basiit", "Berani"
"Gegaat", "Keras"
"Lomeet", "Lembut, empuk"
"Akaat", "Cepat"
"Lekeet", "Lambat"
"Aku", "Aku, saya"
"Kao", "Kamu, engkau"
"Ie", "Dia (laki-laki / peempuan)"
"Kami", "Kami"
"Keti, "Kalian"
"Er", "Mereka"
"Uooq, "Orang"
"Uooqrayat", "Orang ua"
"Uooq ikiit", "Anak-anak"
"Amai, "Ayah, bapak"
"Inaq, "Ibu, mama"
"Akaq, "Kakak"
"Atak, "Adik"
"Tetek", "Kakek"
"Nnek", "Nenek"
"Aqaq, "Paman"
"Ibuq, "Bibi"
"Epot, "Cucu"
"Kula, "Keluarga, krabat"
"Sawa", "Suami"
"Sungn", "Istri"
"Pegaq mai", "Leluhur"
